odour stim,29/09/2020 Female4,29/09/2020 Male6,30/09/2020 Female2,30/09/2020 Male4,30/09/2020 Female7,16/10/2020 Female4,21/10/2020 Female3,16/10/2020 Female4,30/10/2020 Male3,02/11/2020 Female3,08/11/2020 Female5,25/02/2021 Male5
,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V,30V-60V
0.5,4.247,9.4676,2.7216,2.0538,8.8077,10.4961,7.2008,3.0919,4.9804,2.5517,2.2113,4.2771
0.5,4.5714,9.664,3.3562,2.0319,9.0464,10.2305,7.2225,3.1063,4.9478,2.6224,2.0989,4.2799
0.5,4.6903,9.8317,3.0736,2.0204,8.6907,10.5966,7.8588,3.2391,4.7643,2.6833,2.0992,3.7587
0.5,4.8474,9.1168,2.9761,2.2676,8.8156,10.263,7.6755,3.6868,4.4863,2.7698,2.0352,3.8598
0.5,4.6244,9.4429,3.1396,1.9546,8.7404,9.2901,8.0003,3.0792,4.5342,2.7179,2.0366,3.6708
0.5,4.2519,9.1322,3.3164,1.8032,8.6067,8.9347,7.8499,3.0211,4.898,2.8034,1.946,3.6111
0.5,4.1335,8.3725,3.2085,1.7965,8.0914,8.8792,7.7141,2.9287,4.7219,2.6652,2.09,3.6959
0.5,4.085,8.3041,3.1942,2.3147,7.8464,8.588,6.9896,3.5739,4.7826,2.6464,1.9908,3.4218
0.5,3.6413,7.0588,2.9946,2.3833,7.3799,8.283,6.8868,3.6795,5.2961,2.3191,1.849,3.4082
0.5,4.0508,7.0965,2.838,2.1682,7.3025,7.9417,6.6193,3.0199,4.8879,2.3526,1.9816,2.9729
0.5,3.9006,7.4774,2.9516,2.2549,6.8587,8.1412,6.1793,3.0225,4.857,2.3515,1.9023,3.2308
0.5,3.936,6.9928,3.3013,1.8633,7.2057,8.0004,5.9183,3.0301,5.1257,2.5728,1.9135,2.9438
0.5,4.1812,6.8186,3.0699,1.78,7.016,7.7314,5.888,3.2359,4.8889,2.4858,2.0728,3.2204
0.5,4.0505,6.5825,2.8082,1.7554,6.6422,7.8575,5.9489,3.2308,4.6489,2.5804,1.8091,2.8511
0.5,4.1376,6.755,2.9847,1.9408,5.6098,9.0363,6.5816,3.9757,4.848,2.7926,1.9541,3.0628
0.5,3.9594,7.0157,3.2706,1.7695,5.6708,9.5659,6.6919,2.8243,4.6373,2.9443,1.9173,3.2526
0.5,4.1366,7.0737,3.2348,1.6666,5.809,8.9587,6.0632,2.9524,3.4905,3.3621,2.0321,2.9738
0.5,3.7617,7.4165,2.8564,1.6707,5.6283,8.3649,5.5819,2.9607,3.9847,3.9892,2.1205,2.9968
0.5,3.509,7.3494,3.0956,1.7673,5.1277,7.9858,5.2133,3.382,4.9356,4.1558,2.1006,2.8184
0.5,3.4651,7.1094,2.9941,1.5994,5.4887,7.7554,5.1162,2.7399,5.8655,4.6308,2.0685,3.0512
