odour stim;16/11/2020 Male4;16/11/2020 Female10;17/11/2020 Female3;17/11/2020 Female9;18/11/2020 Female3;18/11/2020 Female8;19/11/2020 Male5;19/11/2020 Female10;20/11/2020 Male10;23/11/2020 Male5;23/11/2020 Female9;25/11/2020 Female4;16/02/2021 Male6
;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V;30V-60V
0.5;4.2331;3.6592;12.971;11.4105;17.2264;7.4994;11.168;20.0121;12.9771;5.7954;6.4603;11.7365;10.1664
0.5;4.3654;3.4126;12.6069;11.7271;16.8606;8.3432;11.2761;19.557;13.6462;6.8648;6.2739;11.5965;10.4959
0.5;4.837;4.0689;12.7434;13.176;15.4622;8.7577;11.0782;18.5024;12.6095;6.945;6.229;11.88;10.2213
0.5;5.4121;4.3725;12.4665;13.0981;15.1178;9.3784;9.9558;19.4347;14.276;5.8395;6.0902;12.4375;10.2433
0.5;5.6425;4.4551;12.347;13.0084;15.9202;8.8085;10.4975;19.4327;13.4479;3.7049;6.3442;12.3701;10.3167
0.5;4.8716;4.5349;13.0475;13.209;17.7426;9.0332;10.9552;18.1387;13.3183;3.8237;6.3131;13.0262;9.8868
0.5;2.7457;4.2385;12.7611;12.2013;19.1537;9.2826;9.8503;19.1777;14.5547;3.6397;5.7506;13.6728;8.9599
0.5;2.6675;3.8431;12.696;11.3777;21.1284;8.8496;10.309;16.3808;14.4014;4.4277;6.6053;13.3285;8.928
0.5;3.4156;4.1516;13.548;9.3579;20.4928;9.2858;10.7237;15.1422;13.6449;3.7779;5.8681;12.1047;8.5128
0.5;3.1855;4.4721;14.1855;9.4288;22.3516;9.6909;12.0397;12.8491;13.5282;3.144;6.3574;12.1028;7.994
0.5;4.8963;4.5699;14.6564;10.9795;24.6705;9.801;11.2986;12.0435;14.6468;3.7093;6.9715;12.2136;7.5905
0.5;4.4731;5.3911;13.9724;12.5806;25.4809;11.0409;10.7248;11.0639;14.8565;3.5735;6.9701;11.6802;9.7593
0.5;4.1213;5.6896;14.2831;13.1775;25.6273;13.5243;10.4925;10.2404;12.9434;3.7877;6.72;9.8449;8.9575
0.5;4.7621;6.1247;15.3285;12.1264;24.3412;13.3251;9.4206;10.1297;11.19;3.5711;7.8061;8.2816;7.6814
0.5;4.2736;5.0716;16.3147;11.7372;22.7706;12.5647;10.3286;10.7644;9.7047;3.8369;8.2763;7.6759;8.3979
0.5;4.308;4.1708;15.5873;13.34;23.79;12.4401;9.4935;9.3909;10.1994;3.5357;7.6017;7.7572;8.3462
0.5;4.1572;4.9734;15.3883;12.6381;24.9989;11.7335;9.5426;8.7922;10.8006;4.0422;6.85;6.8944;7.8895
0.5;3.1041;5.7963;17.6661;11.4578;23.9469;10.7036;9.9201;8.2685;10.5919;4.3842;6.6888;6.6194;8.2341
0.5;2.9656;6.4156;17.7729;12.0783;24.7206;11.0449;9.5995;8.6061;10.1299;3.7872;6.6676;6.4888;7.2919
0.5;3.2387;6.3485;17.6753;12.3073;25.4389;10.7292;10.0708;8.3966;10.7134;4.0477;6.9287;6.2594;7.9366
0.5;3.234;6.6776;16.3106;12.8748;23.9173;10.9286;9.9905;7.63;10.2541;4.886;6.9859;7.3527;8.3701
